phase	label	hot	over	eps_mib	pct	mig_gib	csv
F	floor	0.9400	1.5000	-	94.0000	15.0400	Tesla P100-PCIE-16GB,plain,1.500,0.9400,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.040,6291456,3942645,492,3,1,9437184,9,7.4602,2.4759,2.4412,2.4586,3.81,0.06,13.6649,15.0410,15.0410,0,0,0.0000,0.0000,15.0400,0.0000,15.0400,1.1006,1.1006,1.0000,1.0000,0.9999,0.9999,1248.0,0.0,0.0,0.0,0.0,per_iter
F	floor	0.9500	1.5000	-	95.0000	15.2002	Tesla P100-PCIE-16GB,plain,1.500,0.9500,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.200,6291456,3984588,410,3,1,9437184,9,7.5766,2.5268,2.5063,2.5165,3.73,0.06,13.7734,15.2012,15.2012,0,0,0.0000,0.0000,15.2002,0.0000,15.2002,1.1036,1.1036,1.0000,1.0000,0.9999,0.9999,1234.0,0.0,0.0,0.0,0.0,per_iter
F	floor	0.9600	1.5000	-	96.0000	15.3604	Tesla P100-PCIE-16GB,plain,1.500,0.9600,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.360,6291456,4026531,328,3,1,9437184,9,7.6924,2.5426,2.5307,2.5366,3.71,0.06,13.8827,15.3613,15.3613,0,0,0.0000,0.0000,15.3604,0.0000,15.3604,1.1064,1.1064,1.0000,1.0000,0.9999,0.9999,1168.0,0.0,0.0,0.0,0.0,per_iter
F	floor	0.9650	1.5000	-	96.5000	15.4400	Tesla P100-PCIE-16GB,plain,1.500,0.9650,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.440,6291456,4047503,287,3,2,9437184,9,7.6331,2.5456,2.5456,2.5345,3.71,0.06,13.9420,15.4414,15.4414,0,0,0.0000,0.0000,15.4400,0.0000,15.4400,1.1074,1.1074,1.0000,1.0000,0.9999,0.9999,1229.0,0.0,0.0,0.0,0.0,per_iter
F	floor	0.9700	1.5000	-	97.0000	15.5200	Tesla P100-PCIE-16GB,plain,1.500,0.9700,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.520,6291456,4068474,246,3,1,9437184,9,7.3461,2.4476,2.4174,2.4325,3.86,0.06,13.9917,15.5215,15.5215,0,0,0.0000,0.0000,15.5200,0.0000,15.5200,1.1092,1.1092,1.0000,1.0000,0.9999,0.9999,1275.0,0.0,0.0,0.0,0.0,per_iter
F	floor	0.9720	1.5000	-	97.2000	15.5520	Tesla P100-PCIE-16GB,plain,1.500,0.9720,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.552,6291456,4076863,229,3,2,9437184,9,7.3810,2.4314,2.4314,2.4395,3.88,0.06,14.0164,15.5527,15.5527,0,0,0.0000,0.0000,15.5520,0.0000,15.5520,1.1096,1.1096,1.0000,1.0000,1.0000,1.0000,1219.0,0.0,0.0,0.0,0.0,per_iter
F	floor	0.9740	1.5000	-	97.4000	15.5840	Tesla P100-PCIE-16GB,plain,1.500,0.9740,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.584,6291456,4085252,213,3,1,9437184,9,7.8456,2.6189,2.5698,2.5944,3.60,0.06,14.0316,15.5859,15.5859,0,0,0.0000,0.0000,15.5840,0.0000,15.5840,1.1106,1.1106,1.0000,1.0000,0.9999,0.9999,1245.0,0.0,0.0,0.0,0.0,per_iter
A	ceff	0.9745	1.5000	-	97.4500	15.5920	Tesla P100-PCIE-16GB,plain,1.500,0.9745,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.592,6291456,4087349,209,3,1,9437184,9,7.3390,2.4485,2.4311,2.4398,3.85,0.06,14.0407,15.5938,15.5938,0,0,0.0000,0.0000,15.5920,0.0000,15.5920,1.1105,1.1105,1.0000,1.0000,0.9999,0.9999,1189.0,0.0,0.0,0.0,0.0,per_iter
A	ceff	0.9748	1.5000	-	97.4800	15.5968	Tesla P100-PCIE-16GB,plain,1.500,0.9748,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.597,6291456,4088607,206,3,2,9437184,9,7.9602,2.6370,2.6370,2.6434,3.58,0.06,14.0447,15.5977,15.5977,0,0,0.0000,0.0000,15.5968,0.0000,15.5968,1.1105,1.1105,1.0000,1.0000,0.9999,0.9999,1187.0,0.0,0.0,0.0,0.0,per_iter
A	ceff	0.9750	1.5000	-	97.5000	15.6001	Tesla P100-PCIE-16GB,plain,1.500,0.9750,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.600,6291456,4089446,205,3,1,9437184,9,7.4342,2.4653,2.4484,2.4569,3.83,0.06,14.0445,15.6016,15.6016,0,0,0.0000,0.0000,15.6001,0.0000,15.6001,1.1108,1.1108,1.0000,1.0000,0.9999,0.9999,1272.0,0.0,0.0,0.0,0.0,per_iter
