arm	knob	O	h	c	K	pattern	ceff_gib	floor_gib	ublk_gib	upage_gib	x_ublk_over_ceff	mig_gib	htod_gib	dtoh_gib	time_s	amblkhtod	csv
H	0.940	1.5	0.940	0	1	rand	15.6080	14.8003	15.0410	13.6649	0.96367	15.0400	15.0400	0.0000	2.4778	0.9999	Tesla P100-PCIE-16GB,plain,1.500,0.9400,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.040,6291456,3942645,492,2,1,9437184,9,4.9202,2.4778,2.4778,2.4778,3.81,0.06,13.6649,15.0410,15.0410,0,0,0.0000,0.0000,15.0400,0.0000,15.0400,1.1006,1.1006,1.0000,1.0000,0.9999,0.9999,1083.0,0.0,0.0,0.0,0.0,per_iter
H	0.960	1.5	0.960	0	1	rand	15.6080	14.8003	15.3613	13.8827	0.98419	15.3604	15.3604	0.0000	2.4560	0.9999	Tesla P100-PCIE-16GB,plain,1.500,0.9600,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.360,6291456,4026531,328,2,1,9437184,9,4.9507,2.4560,2.4560,2.4560,3.84,0.06,13.8827,15.3613,15.3613,0,0,0.0000,0.0000,15.3604,0.0000,15.3604,1.1064,1.1064,1.0000,1.0000,0.9999,0.9999,1168.0,0.0,0.0,0.0,0.0,per_iter
H	0.970	1.5	0.970	0	1	rand	15.6080	14.8003	15.5215	13.9917	0.99446	15.5200	15.5200	0.0000	2.4972	0.9999	Tesla P100-PCIE-16GB,plain,1.500,0.9700,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.520,6291456,4068474,246,2,1,9437184,9,4.9836,2.4972,2.4972,2.4972,3.78,0.06,13.9917,15.5215,15.5215,0,0,0.0000,0.0000,15.5200,0.0000,15.5200,1.1092,1.1092,1.0000,1.0000,0.9999,0.9999,1259.0,0.0,0.0,0.0,0.0,per_iter
H	0.9745	1.5	0.9745	0	1	rand	15.6080	14.8003	15.5938	14.0407	0.99909	15.5920	15.5920	0.0000	2.4739	0.9999	Tesla P100-PCIE-16GB,plain,1.500,0.9745,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.592,6291456,4087349,209,2,1,9437184,9,4.9857,2.4739,2.4739,2.4739,3.81,0.06,14.0407,15.5938,15.5938,0,0,0.0000,0.0000,15.5920,0.0000,15.5920,1.1105,1.1105,1.0000,1.0000,0.9999,0.9999,1411.0,0.0,0.0,0.0,0.0,per_iter
H	0.9750	1.5	0.9750	0	1	rand	15.6080	14.8003	15.6016	14.0445	0.99959	15.6001	15.6001	0.0000	2.4529	0.9999	Tesla P100-PCIE-16GB,plain,1.500,0.9750,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.600,6291456,4089446,205,2,1,9437184,9,4.9438,2.4529,2.4529,2.4529,3.85,0.06,14.0445,15.6016,15.6016,0,0,0.0000,0.0000,15.6001,0.0000,15.6001,1.1108,1.1108,1.0000,1.0000,0.9999,0.9999,1224.0,0.0,0.0,0.0,0.0,per_iter
H	0.9754	1.5	0.9754	0	1	rand	15.6080	14.8003	15.6074	14.0497	0.99996	16.7421	16.1671	0.5750	2.7423	1.0359	Tesla P100-PCIE-16GB,plain,1.500,0.9754,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.606,6291456,4091124,202,2,1,9437184,9,5.4773,2.7423,2.7423,2.7423,3.44,0.06,14.0497,15.6074,15.6074,0,0,0.0000,0.0000,16.1671,0.5750,16.7421,1.1916,1.1507,1.0728,1.0359,1.0727,1.0359,1882.0,0.0,0.0,0.0,0.0,per_iter
H	0.9755	1.5	0.9755	0	1	rand	15.6080	14.8003	15.6094	14.0518	1.00009	20.8400	18.2058	2.6342	3.0756	1.1663	Tesla P100-PCIE-16GB,plain,1.500,0.9755,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.608,6291456,4091543,201,2,1,9437184,9,6.1306,3.0756,3.0756,3.0756,3.07,0.05,14.0518,15.6094,15.6094,0,0,0.0000,0.0000,18.2058,2.6342,20.8400,1.4831,1.2956,1.3352,1.1664,1.3351,1.1663,3322.0,0.0,0.0,0.0,0.0,per_iter
H	0.9757	1.5	0.9757	0	1	rand	15.6080	14.8003	15.6113	14.0525	1.00021	29.9730	22.7466	7.2264	4.1531	1.4571	Tesla P100-PCIE-16GB,plain,1.500,0.9757,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.611,6291456,4092382,199,2,1,9437184,9,8.3233,4.1531,4.1531,4.1531,2.27,0.04,14.0525,15.6113,15.6113,0,0,0.0000,0.0000,22.7466,7.2264,29.9730,2.1329,1.6187,1.9200,1.4571,1.9200,1.4571,6108.0,0.0,0.0,0.0,0.0,per_iter
H	0.976	1.5	0.976	0	1	rand	15.6080	14.8003	15.6172	14.0568	1.00059	56.4337	35.9131	20.5205	8.0580	2.2996	Tesla P100-PCIE-16GB,plain,1.500,0.9760,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.616,6291456,4093640,197,2,1,9437184,9,16.2021,8.0580,8.0580,8.0580,1.17,0.02,14.0568,15.6172,15.6172,0,0,0.0000,0.0000,35.9131,20.5205,56.4337,4.0147,2.5549,3.6138,2.2998,3.6136,2.2996,9319.0,0.0,0.0,0.0,0.0,per_iter
H	0.977	1.5	0.977	0	1	rand	15.6080	14.8003	15.6328	14.0655	1.00159	126.4616	70.7394	55.7222	17.0897	4.5251	Tesla P100-PCIE-16GB,plain,1.500,0.9770,0.00000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.632,6291456,4097835,188,2,1,9437184,9,34.2660,17.0897,17.0897,17.0897,0.55,0.01,14.0655,15.6328,15.6328,0,0,0.0000,0.0000,70.7394,55.7222,126.4616,8.9909,5.0293,8.0899,4.5253,8.0895,4.5251,16357.0,0.0,0.0,0.0,0.0,per_iter
