regime	h	flops	time_s	mig_gib	maccess_per_s	csv
sub	0.90	0	194.9322	1593.5977	0.05	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,395.3857,194.9322,194.9322,194.9322,0.05,0.00,13.8503,24.0000,24.0000,189058,4916,9.6016,6.0010,799.9545,793.6432,1593.5977,115.059,57.7573,75.4889,37.8939,66.3999,33.3314,111353.0,0.0,0.0,0.0,0.0,per_iter
sub	0.90	32	194.7570	1593.7148	0.05	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,389.2322,194.7570,194.7570,194.7570,0.05,0.00,13.8503,24.0000,24.0000,189058,4916,9.6016,6.0010,800.1357,793.5792,1593.7148,115.067,57.7704,75.4945,37.9025,66.4048,33.3390,65478.0,0.0,0.0,0.0,0.0,per_iter
sub	0.90	128	196.3014	1593.8649	0.05	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,392.3490,196.3014,196.3014,196.3014,0.05,0.00,13.8503,24.0000,24.0000,189058,4916,9.6016,6.0010,800.0803,793.7845,1593.8649,115.078,57.7664,75.5016,37.8999,66.4110,33.3367,64853.0,0.0,0.0,0.0,0.0,per_iter
sub	0.90	512	214.9902	1594.1691	0.04	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,443.4707,214.9902,214.9902,214.9902,0.04,0.00,13.8503,24.0000,24.0000,189058,4916,9.6016,6.0010,800.3372,793.8320,1594.1691,115.100,57.7850,75.5160,37.9121,66.4237,33.3474,66059.0,0.0,0.0,0.0,0.0,per_iter
sub	0.90	2048	201.6191	1593.3099	0.05	Tesla P100-PCIE-16GB,plain,1.500,0.9000,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,14.400,6291456,3774873,819,2,1,9437184,9,403.4500,201.6191,201.6191,201.6191,0.05,0.00,13.8503,24.0000,24.0000,189058,4916,9.6016,6.0010,799.9109,793.3990,1593.3099,115.038,57.7542,75.4753,37.8919,66.3879,33.3296,65270.0,0.0,0.0,0.0,0.0,per_iter
post	0.99	0	213.5051	1486.4612	0.04	Tesla P100-PCIE-16GB,plain,1.500,0.9900,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.840,6291456,4152360,82,2,1,9437184,9,430.2150,213.5051,213.5051,213.5051,0.04,0.00,14.8216,24.0000,24.0000,189058,4178,8.1602,50.9998,745.4274,741.0338,1486.4612,100.290,50.2934,67.5231,33.8614,61.9359,31.0595,71376.0,0.0,0.0,0.0,0.0,per_iter
post	0.99	32	231.5476	1489.5481	0.04	Tesla P100-PCIE-16GB,plain,1.500,0.9900,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.840,6291456,4152360,82,2,1,9437184,9,462.5855,231.5476,231.5476,231.5476,0.04,0.00,14.8216,24.0000,24.0000,189058,4178,8.1602,50.9998,746.7475,742.8006,1489.5481,100.498,50.3824,67.6634,33.9213,62.0645,31.1145,89295.0,0.0,0.0,0.0,0.0,per_iter
post	0.99	128	213.1310	1487.1466	0.04	Tesla P100-PCIE-16GB,plain,1.500,0.9900,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.840,6291456,4152360,82,2,1,9437184,9,425.2839,213.1310,213.1310,213.1310,0.04,0.00,14.8216,24.0000,24.0000,189058,4178,8.1602,50.9998,745.6488,741.4978,1487.1466,100.336,50.3083,67.5543,33.8714,61.9644,31.0687,73666.0,0.0,0.0,0.0,0.0,per_iter
post	0.99	512	217.2805	1487.1201	0.04	Tesla P100-PCIE-16GB,plain,1.500,0.9900,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.840,6291456,4152360,82,2,1,9437184,9,432.5627,217.2805,217.2805,217.2805,0.04,0.00,14.8216,24.0000,24.0000,189058,4178,8.1602,50.9998,745.7081,741.4120,1487.1201,100.334,50.3123,67.5531,33.8741,61.9633,31.0712,82779.0,0.0,0.0,0.0,0.0,per_iter
post	0.99	2048	232.3908	1488.3246	0.04	Tesla P100-PCIE-16GB,plain,1.500,0.9900,0.02000,rand,1,0.00,0.00,4096,contiguous,rmw,reset,0,24.00,16.00,15.840,6291456,4152360,82,2,1,9437184,9,464.4387,232.3908,232.3908,232.3908,0.04,0.00,14.8216,24.0000,24.0000,189058,4178,8.1602,50.9998,746.3018,742.0228,1488.3246,100.416,50.3524,67.6078,33.9011,62.0135,31.0959,71525.0,0.0,0.0,0.0,0.0,per_iter
